"nu_Licitacao","cd_UGestora","tp_Licitacao","dt_Homologacao","tp_Objeto","vl_Licitacao","de_Obs"
"002902014",603095,8,"2014-06-13 00:00:00",2,1200,"CONTRATACAO DO ARTISTA MERLANIO MAIA BARBOZA - CPF N.276.497.174-53, QUE FARA APRESENTACAO NO DIA 21 DE JUNHO DE 2014, D"
"002912007",603095,8,"2007-07-18 00:00:00",2,500,"Contratação da Dupla de Repentistas Manoel e Severino Paulo, p/ apresentação dia 26/07/2007."
"002912008",603095,8,"2008-06-11 00:00:00",2,600,"CONTRT DO TRIO PE DE SERRA MEU CANTO NORDESTE REP P RAUL DA SILVA PAIVA, P APRES NO DIA 13 DE JUNHO 2008 "
"002912009",603095,8,"2009-05-22 00:00:00",2,10000,"contrat. S. L. Pessoa- Shows- ME, rep. cantor Silverio Pessoa , que fara Show no dia 24/06/2009, no Sao Joao."
"002912010",603095,8,"2010-05-31 00:00:00",2,5880,"Cont. Jose H. Caeira, Ministrar a oficina Rabequiando: COnst. e TocandoRabeca, periodo 01/06 a 20/12/2010 na Assoc. Bala"
"002912011",603095,8,"2011-08-04 00:00:00",2,7200,"Contrat. Banda Cabacal Irmaos Aniceto, fara apresentacao dia 06/08/2011, no Ponto Cem Reis."
"002912012",603095,8,"2012-06-21 00:00:00",2,2400,"Cont. Trio Forro da Mala F/ duas apres. dias 22 e 28/06/2012, eventos Forrozando nos trilhos com Alegria e Melhor Idade."
"002912013",603095,8,"2013-05-29 00:00:00",2,1200,"Cont. GRUPO TRES DO NORTE,rep. JOSIL DA SILVA LIMA,dia 30/05 em Mangabeira, no Dia das Mães."
"002912014",603095,8,"2014-06-16 00:00:00",2,7000,"CONTRATACAO DA BANDA TUAREGS REPRESENTADO POR TUAREGS PRODUCAO ARTISTICA LTDA  ME  CNPJ N 10.737.104/0001-37, QUE FARA A"
"002922007",603095,8,"2007-07-18 00:00:00",2,850,"Contratação da Quadrilha Junina Fazenda Lampião, p/ ap. dia 28/07/2007 na festa de aniversario da Ass.Cult.ìndios Tupina"
"002922008",603095,8,"2008-06-11 00:00:00",2,600,"CONTR DO TRIO DE FORRO PE DE SERRA OS TRPOICAIS DO FORRO REP P ANTONIO A DA COSTA P APRES NA FESTA DE  SANTO ANTONIO"
"002922009",603095,8,"2009-05-22 00:00:00",2,19000,"Contrat. Art. Produções e Eventos, rep. Antonio Barros, que fara show no dia 24/06/2009, no Sao Joao em Joao Pessoa."
"002922010",603095,8,"2010-05-31 00:00:00",2,5880,"Contrat. Lucas D. M. Silva, p/ ministrar Pifercussao, no Centro de Juventude do Rangel, no periodo 01/06 a 20/12/2010."
"002922011",603095,8,"2011-08-10 00:00:00",2,1200,"Contrat. Rinaldo Nunes Fernandes, para apresentacao (mediacao) dia 16/08/2011, no Ponto Cem Reis- Centro."
"002922012",603095,8,"2012-06-22 00:00:00",2,2400,"Contrat. Trio Amigos do Forro, fara duas apresent. dias 23/06/2012, na Assoc. de moradores do Prosind I- Mangabeira. "
"002922013",603095,8,"2013-05-29 00:00:00",2,500,"Cont.JOÃO VICTOR DE OLIVEIRA DE FIGUEIREDO, apres. junto a Orquestra de Camara nos dias 01 e02 /05, na sala de Concerto."
"002922014",603095,8,"2014-06-16 00:00:00",2,8000,"CONTRATACAO DA ARTISTA RENATA ARRUDA REPRESENTADO POR R. ARRUDA PRODUCOES E EDICOES ARTISTICA LTDA  ME  CNPJ N 02.481.66"
"002932007",603095,8,"2007-07-18 00:00:00",2,1500,"Contratação do Trio Pé de Serra Pé de Moleque, p/ apresentação dia 28/07/2007 na Festa de Aniv.da Ass. Cult. Indios Tupi"
"002932008",603095,8,"2008-06-11 00:00:00",2,600,"CONT  DA CNTORA MEIRE LIMA E BANDA, P APRES NO II SÃO  JOAO DA ASSOC DOS COMERCINANTES DO MERCADO DE CRUZ DAS ARMAS"
"002932009",603095,8,"2009-05-22 00:00:00",2,10000,"Contrat. Grupo Musical Do Quinteto Violado Ltda, que fara show dia 27/05/2009 no Sao Joao em Joao Pessoa."
"002932011",603095,8,"2011-08-08 00:00:00",2,4350,"Contrat. Soc .de Ensino Superior da PB- IESP, promov. Curso de espec. Gestao e Auditoria Publica por periodo de 15 mese"
"002932012",603095,8,"2012-06-26 00:00:00",2,5000,"Contrat. Eulalia A. Silva, rep. Orq. Sanfonica Balaio do Nordeste, fara apresentacao dia 29/06/2012, na Estacao das Arte"
"002932013",603095,8,"2013-05-17 00:00:00",2,1200,"Cont. HELTON JOSE BATISTA DE SOUZA- HELTON SOUZA,apres.19/05, no Dia Mundial de Reciclagem."
"002932014",603095,8,"2014-06-10 00:00:00",2,7000,"CONTRATACAO DO GRUPO FORRO BAKANA REPRESENTADO POR ARTSOM  PROMOCOES ARTISTICAS E EVENTOS LTDA  ME - CNPJ N. 09.389.295/"
"002942007",603095,8,"2007-07-18 00:00:00",2,600,"Contratação de Marluce dos Santos Alves, p/ apresentação dia 28/07/2007 na Festa de Aniv.da Ass. Cult. Indios Tupinambá."
"002942008",603095,8,"2008-06-11 00:00:00",2,950,"CONT DA QUADRILHA  SÃO MATEUS REP P WILLISMAR P APRES NO DIA 14 DE JUNHO NA FESTA DOS AGENTES DE TRANSITO E FISCAIS DE T"
"002942009",603095,8,"2009-05-25 00:00:00",2,10000,"Contrat. JC Produções- rep. Cantor Dejinha de Monteiro, fara show dia 26/06/2009, no Sao Joao em Joao Pessoa."
"002942010",603095,8,"2010-06-04 00:00:00",2,4000,"Contrat. Oliveira F. de Melo, fara apresentacao dia 11/06/2010, no Ponto Cem Reis."
"002942011",603095,8,"2011-08-12 00:00:00",2,40000,"Contrat. Gabriel o Pensador, fara apresentacao dia 12/08/2011, no Ponto Cem Reis- Centro."
"002942012",603095,8,"2012-06-26 00:00:00",2,1200,"Contrat. Werlainy de J. O. Lopes, fara apresent. dia 07/06/2012, na Sede da Associacao de Moradores."
"002942013",603095,8,"2013-05-27 00:00:00",2,1000,"Contrat. MARINALVA R. DOS SANTOS p/ apresent. 27/05/2013, às 9:30h, Praça da Paz, Bancários, Projeto VIVENDO ARTE."
"002942014",603095,8,"2014-06-26 00:00:00",2,8000,"CONTRATACAO DA BANDA NAGIBE REPRESENTADA POR NAGIBE PRODUCOES E EVENTOS LTDA ME  CNPJ - N 13.313.554/0001-90, QUE FARA A"
"002952007",603095,8,"2007-07-18 00:00:00",2,850,"Contratação da Quadrilha Rosa Linda, p/ apresentação dia 28/07/2007 na Festa de Aniv. da Ass.Cultural Indios Tupinambás."
"002952008",603095,8,"2008-06-11 00:00:00",2,950,"CONTR DA QUAD JUNINA ACONCHEGO REP P WALBER GOMES FREIRE COUTINHO P APRES NO DIA 14 DE JUNHO NO ARRAIAL DAS FESTIVIDADES"
"002952009",603095,8,"2009-05-25 00:00:00",2,3600,"Contrat. Joao de Arimateia F. De Melo, que Ministrata Oficina de Flauta doce, no periodo 28/05/ a 28/11/2009."
"002952010",603095,8,"2010-06-04 00:00:00",2,2000,"Contrat. Jose Uberval Delgado, fara apresentacao dia 11/06/2010, no Ponto Cem Reis, no Sao Joao em Joao Pessoa.


"
"002952011",603095,8,"2011-08-12 00:00:00",2,2000,"Contrat. Banda Tribos Ras, fara apresentacao dia 12/08/2011, no Ponto Cem Reis- Centro, no evento Semana da Juventude."
"002952012",603095,8,"2012-06-02 00:00:00",2,2200,"Cont.Ouroboros Cinematrografia Ltda, rep.Moira Toledo, minist. palestra de abertura dia 02/07/2012, no Auditorio Cecapro"
"002952013",603095,8,"2013-05-24 00:00:00",2,3500,"Contrat. Banda Bereguedê, represent EDVALDO DE .O LIMA - ME p/apresent. 25/05/2013, às 22h, na XX Festa de St. Rita de C"
"002952014",603095,8,"2014-06-26 00:00:00",2,15000,"CONTRATACAO DO ARTISTA YEGOR GOMES REPRESENTADO POR DOIS Y SERVICOS DE PRODUCAO E EVENTOS LTDA  ME - CNPJ N. 19.904.653/"
"002962007",603095,8,"2007-07-18 00:00:00",2,850,"Contratação do Grupo de Cultura Popular Tribo Africanos, p/ apresentação dia 28/07/2007 na Festa de Aniv. da Ass.Cult. I"
"002962008",603095,8,"2008-06-11 00:00:00",2,950,"CONTR DO GRUPO CAVALO MARINHO DO MESTRE JOÃO DO BOI, REP P JOÃO ANTONIO DO N PEREIRA P APRES NO SÃO JOÃO 2008"
"002962009",603095,8,"2009-05-25 00:00:00",2,3600,"Contrat. de Maria Betania Da silva, que Ministrara Oficina de Teatro, no periodo 25/05 a 25/11/2009 no bairro Tambia."
"002962010",603095,8,"2010-06-04 00:00:00",2,2000,"Contrat. Ciranda do Vale do Gramame, fara apresentacao dia 26/06/2010, na praca Dom Adauto- Centro ."
"002962011",603095,8,"2011-08-15 00:00:00",2,2000,"Contrat. Teatralia para uma apresentacao do espetaculo Encenacoes Poeticas no dia 16/08/2011, no Ponto Cem Reis- Centro."
"002962012",603095,8,"2012-06-29 00:00:00",2,3000,"Contrat. Ciranda do Tupinambas, fara apresentacao dia 29/06/2012, no Ponto Cem Reis-Centro."
"002962013",603095,8,"2013-05-20 00:00:00",2,2500,"Cont. JOSÉ EVERALDO DE O. VASCONCELOS,p/compor a comissão de analise do Edital das Quadrilhas Juninas, no dia 20/05."
"002962014",603095,8,"2014-06-26 00:00:00",2,3500,"CONTRATACAO DA BANDA FORRO DO SHEIK REPRESENTADO PELO TAMBEM INTEGRANTE DO ALUDIDO GRUPO O SR. IRAN PONTES DE MEDEIROS -"
"002972007",603095,8,"2007-07-18 00:00:00",2,600,"Contratação do Trio Pé de Serra Forrozueira, p/ apresentação dia 29/07/2007 no 3º são joão fora de época da comunidade c"
"002972008",603095,8,"2008-06-11 00:00:00",2,950,"CONTR DA DUPLA DE REPENTISTAS MANOEL FRANCISCO E JOÃO PAULO REP P MANOEL FRANCISCO ALVES, P APRES NA FEST DO ANIV DO COS"
"002972009",603095,8,"2009-05-25 00:00:00",2,3600,"Contrat. Luis Augusto P. dos Anjos-Luis Augusto, que Ministrara Oficina de musica, no periodo 28/05 a 28/11/2009."
"002972010",603095,8,"2010-06-04 00:00:00",2,2000,"Contrat. Trio Raizes do forro, fara apresentacao dia 25/06/2010, Praca Dom Adauto- Centro."
"002972011",603095,8,"2011-08-15 00:00:00",2,1200,"Contrat. Bruno Rafael de  A. Gaudencio, para participar de uma apresent. dia 16/08/2011, no Ponto Cem Reis- Centro."
"002972013",603095,8,"2013-05-29 00:00:00",2,2000,"Cont. GRUPO CAPOEIRA DE PARATIBE, rep. JOÃO PAULO DE ARAUJO PEREIRA, dia 31/05 na Pç. Rio Branco."
"002972014",603095,8,"2014-06-26 00:00:00",2,3500,"CONTRATACAO DO ARTISTA CARLOS ALBERTO FARIAS RODRIGUES (BETO MOVIMENTO)  CPF - N 789.643.774-00, QUE FARA APRESENTACAO N"
"002982007",603095,8,"2007-07-24 00:00:00",2,2000,"Contratação de Leonardo Almeida Ribeiro - Léo Almeida e Banda, p/ apresentação dia 31/07/2007 na Festa das Neves 2007."
"002982008",603095,8,"2008-06-11 00:00:00",2,950,"CONT DA QUADRILHA JUNINA ZE MONTEIRO REP   P PATRICIA SOARES FONSECA P APRES   NO S JOÃO DO DO B COSTA E SILVA"
"002982009",603095,8,"2009-05-25 00:00:00",2,4000,"Contrat. do grupo de Forro Swing Nordestino, rep. Ailton Vieira, que fara show no dia 28/06/2009, no Sao joao."
"002982010",603095,8,"2010-05-28 00:00:00",2,5880,"Contrat. Maria L. P. Moreno, ministrar Projeto Passos, no Casarao 34- Centro, no periodo 01/06 a 20/12/2010."
"002982011",603095,8,"2011-08-15 00:00:00",2,2000,"Contrat. Roberto Menezes da Silva, para ministrar oficina dia 18 a 19/08/2011, no casarao 34."
"002982013",603095,8,"2013-05-20 00:00:00",2,2500,"Cont. PAULO ROBERTO VIEIRA DE MELO, p/compor a Comissão de Analise do Edital das Quadrilhas Juninas, no dia 20/05."
"002982014",603095,8,"2014-06-27 00:00:00",2,10000,"CONTRATACAO DA ARTISTA DIANA FLAVIA MIRANDA DE OLIVEIRA  ME (DIANA MIRANDA) - CNPJ N 17.461.109/0001-29., QUE FARA APRES"
"002992008",603095,8,"2008-06-11 00:00:00",2,950,"CONTR DA QUADR JUNINA FAZ LAMPIÃO REP P LEONILSON DA COSTA AQUINNO P APRES NO SÃO JOÃO DO   B  DO CRISTO    "
"002992009",603095,8,"2009-05-25 00:00:00",2,800,"Contrat. Banda Baiao de Sete, rep. por Elma Virginia , que fara show dia 23/05/2009, na programção Sao Joao Rural."
"002992011",603095,8,"2011-08-15 00:00:00",2,1200,"Contrat. Escritora Tercia M. Lemos, p/ participar de apresentacao(bate papo) dia 19/08/2011, no Ponto Cem Reis- Centro."
"002992012",603095,8,"2012-06-28 00:00:00",2,3000,"Cont. Leonardo L. Marinho, rep. Banda Cabruera, fara apres. dia 29/06/2012, na Praca Antenor Navarro- Centro Historico."
"002992013",603095,8,"2013-05-24 00:00:00",2,2000,"Cont. GRUPO DO CLUBE DO CHORO, rep. ASSOCIAÇÃO DO CLUBE DO CHORO DA PARAIBA, dia 25/05 no SABADINHO BOM."
"002992014",603095,8,"2014-06-26 00:00:00",2,5000,"CONTRATACAO DO ARTISTA ADILSON MEDEIROS REPRESENTADO POR EULALIA ALVES DA SILVA  ME  - CNPJ N. 12.386.284/0001-85, QUE F"
"003002007",603095,8,"2007-07-24 00:00:00",2,1200,"Contratação da Cia de Teatro Encena, p/ apresentar o espetaculo No Reino do Chocolate, no Auditoro da STTRANS."
"003002008",603095,8,"2008-06-11 00:00:00",2,950,"CONTRAT DA QUADRILHA JUNINA  B DE BODE REP  P  ELIANE CARNEIRO DA SILVA  P APRES NO S JOAO DO B DO CRISTO REDENTOR."
"003002009",603095,8,"2009-05-25 00:00:00",2,3600,"Contrat.Antonia Torres Amarante, que Ministrara Oficina De Pintura em Tecidos, no periodo 28/05/ a 28/05/2009."
"003002010",603095,8,"2010-06-04 00:00:00",2,8000,"cont. de Guturuico Prod. Culturais LTDA, rep. de Renata Rosa, p/ apresentação dia 04/06/2010 no Ponto de Cem Reis"
"003002011",603095,8,"2011-08-15 00:00:00",2,1200,"Contrat. Pedro Rodrigues Salgueiro para participar de uma apresentacao (bate papo) dia 19/08/2011, no Ponto Cem Reis- Ce"
"003002012",603095,8,"2012-06-27 00:00:00",2,1200,"Cont. Claudio S. Andrade, fara apresent. dia 29/06/2012, no animacao do IV Arraia Comunitario Planalto boa Esperanca."
"003002013",201025,11,"2013-07-01 00:00:00",1,1e+05,"AQUISIÇÃO DE MATERIAIS DE LIMPEZA PARA A SECRETARIA DE SAUDE DESTA PREFEITURA"
"003002014",603095,8,"2014-06-26 00:00:00",2,1400,"CONTRATACAO DA BANDA FORRO ENCABULADO REPRESENTADO PELO TAMBEM INTEGRANTE DO ALUDIDO GRUPO O SR JOSE HONORATO DA SILVA -"
"003012007",603095,8,"2007-07-24 00:00:00",2,500,"Contratação da Banda Geração, p/ apresentação dia 28/07/2007 no II Encontro de Bandas no Bairro dos Novais."
"003012008",603095,8,"2008-06-11 00:00:00",2,600,"CONT DO TRIO PE DE SERRA CARIRI  REP P ANTONIO BEZERRA DA SILVA P APRES  NO S JOAO DO B DO  CRISTO REDENTOR"
"003012009",603095,8,"2009-05-25 00:00:00",2,5000,"Contrat. Banda De forro Cacua, rep. sarah cristina, que fara show no dia 25/06/2009, no Sao Joao de Joao Pessoa."
"003012010",603095,8,"2010-06-21 00:00:00",2,8000,"Contrat. Tarcisio A. Toscano Almeida, fara apresentacao dia 04/06/2010, no Ponto Cem Reis- Centro."
"003012011",603095,8,"2011-08-15 00:00:00",2,2000,"Contrat. Eleonora Falcone, fara apresentacao dia 17/08/2011, no Ponto Cem Reis-Centro."
"003012012",603095,8,"2012-06-29 00:00:00",2,1200,"Contrat. Trio Forrofiando fara apresent. dia 30/06/2012, na Av. Avelino dos Santos - Valentina."
"003012013",201025,11,"2013-07-01 00:00:00",2,1e+05,"ELABORAÇÃO DO PLANO DE HABITAÇÃO DE INTERESSE SOCIAL DESTE MUNICIPIO"
"003012014",603095,8,"2014-06-06 00:00:00",2,78000,"CONTRATACAO DO MAESTRO REGENTE LAERCIO DINIZ REPRESENTADO POR WEIMAR EMPREENDIMENTOS ARTISTICOS LTDA  ME (APTIDAO CONSUL"
"003022007",603095,8,"2007-07-24 00:00:00",2,1000,"Contratação da Bandinha de Seu Lula, p/ apresentação dia 28/07/2007 na prog. do II Encontro de Bandas, no B. dos Novais."
"003022008",603095,8,"2008-06-11 00:00:00",2,600,"CONTR DO TRIO PE DE SERRA JO MENDONÇA REP P JOSENICE ALCOFORADO DE MENDONÇA P APRES NO SÃO JOAO DO  CRISTO REDENTOR "
"003022009",603095,8,"2009-05-29 00:00:00",2,3600,"Cont.Michel Charles N. Felix, Ministrara Oficina de Canto coral, no bairro Ilha do Bispo, no periodo 01/05 a 30/11/2009"
"003022010",603095,8,"2010-06-04 00:00:00",2,1500,"Contrat. Federacao de Bandas e Fanfarras - PB, fara apresentacao dia 04/06/2010, no Ponto Cem Reis- Centro."
"003022012",603095,8,"2012-07-26 00:00:00",2,1200,"Cont.Trio Kentura Nordestina, f/ apresent. dias 29 e 30/06/2012 na Av. Fraternidade-Cristo e Mercado Frei Martinho-Ragel"
"003022013",201025,1,"2013-07-01 00:00:00",1,1e+06,"COLETA DE RESIDUOS SOLIDOS DESTE MUNICIPIO COM DESTINAÇÃO FINAL"
"003022014",603095,8,"2014-06-20 00:00:00",2,10000,"CONTRATACAO DO GRUPO DE CULTURA POPULAR DONA SELMA DO COCO REPRESENTADO POR SONIA CRISTINA COSTA FERREIRA  ME - CNPJ N 0"
"003032007",603095,8,"2007-07-24 00:00:00",2,700,"Contratação do Grupo Círculo de Tambores, p/ apresentação dia 30/07/2007, na casa da Pólvora."
"003032008",603095,8,"2008-06-11 00:00:00",2,600,"Contratação do Trio Pé de Serra Renovação do Forró, p/ apresnt. dia 15/06/08 no Mercado Público de Cruz das Armas."
"003032009",603095,8,"2009-05-29 00:00:00",2,800,"Contrat. da Banda Megashow, rep Jose Roberto, que fara show no dia 14/06/2009, no Conjunto Costa e Silva."
"003032010",603095,8,"2010-06-04 00:00:00",2,1000,"Contrat. Walter Luis Souto Brandao, fara apresentacao dia 06/06/2010, no Evento Sao Joao Guaribe 2010."
"003032011",603095,8,"2011-08-15 00:00:00",2,12000,"Contrat. Mariana Aydar, fara apresentacao dia 19/08/2011, na praca do povo da Fundacao Espaco Cultural."
"003032012",603095,8,"2012-06-28 00:00:00",2,1200,"Contrat. Eulalia A. Silva, rep. Trio Forro Encabulado,fara apresentacao dia 28/06/2012, na Av. Fraternidade - Cristo."
"003032013",201025,11,"2013-07-01 00:00:00",2,50000,"AQUISIÇÃO DE CADEIRAS E MESAS DE MATERIAL PLASTICO PARA OS ORGÃO DAS SECRETARIAS MUNICIPAIS"
"003032014",603095,8,"2014-06-26 00:00:00",2,2000,"CONTRATACAO DO ARTISTA RINALDO VITURINO REPRESENTADO POR TALLENTUS MIDIAS SOLUCOES MUSICAIS LTDA - ME - CNPJ N 15.598.45"
"003042007",603095,8,"2007-07-24 00:00:00",2,1000,"Contratação da Cia de Teatro Encena, p/ apresentação dia 04/08/2007 na programação da Festa das Neves 2007."
"003042008",603095,8,"2008-06-11 00:00:00",2,950,"Contratação da Quadrilha Junina Cangaceiros do Sertão, p/ apresent. dia 15/06/08 no São João do Bairro do Cristo."
"003042009",603095,8,"2009-05-29 00:00:00",2,5000,"Contrat. Org. Comercial Produtek Ltda, rep. cantor Beto Brito, que fara Show no dia 27/06/2009, no Sao Joao."
"003042010",603095,8,"2010-06-11 00:00:00",2,22000,"Contrat. Litoral Music Entretenimento Ltda, fara apresentacao dia 19/06/2010, no Ponto de Cem Reis- Centro."
"003042011",603095,8,"2011-08-15 00:00:00",2,1200,"Contrat. Antonio Mariano de lima, para participar de uma apresentacao(medicao), dia 19/08/2011, no Ponto Cem Reis- Centr"
"003042012",603095,8,"2012-06-28 00:00:00",2,2000,"Contrat. Banda Licenciosa, fara apresentacao dia 30/06/2012, na Praca Antenor Navarro- Centro Historico."
"003042014",603095,8,"2014-07-02 00:00:00",2,7000,"CONTRATACAO DA BANDA TUAREGS REPRESENTADA POR TUAREGS PRODUCAO ARTISTICA LTDA - ME - CNPJ N 10.737.104/0001-37, QUE FARA"
"003052007",603095,8,"2007-07-25 00:00:00",2,500,"Contratação do Trio Pé de Serra Renovação do Forró, p/ apresentação dia 11/08/2007 na festa beneficente da P.V.M.dos Pob"
"003052008",603095,8,"2008-06-11 00:00:00",2,3000,"Contratação da Cia Paraibana de Comédia, rep. do Casal Matuto p/ trabalhar de 20 a 29/06 no Aeroporto Castro Pinto."
"003052009",603095,8,"2009-05-29 00:00:00",2,3600,"Contrat. de Adeilson de Morais Ferreira, ministrara Oficina de Capoterapia, no periodo 30/05 a 30/11/2009."
"003052010",603095,8,"2010-06-11 00:00:00",2,26000,"Contrat. Francinildo F. dos Santos-ME, fara apresent. dia 12/06/2010, no Ponto Cem Reis- Centro."
"003052011",603095,8,"2011-08-12 00:00:00",2,1200,"Contrat. Telma Schere fara apresentacao (palestra) dia 15/08/2011, no Ponto Cem Reis-centro."
"003052012",603095,8,"2012-06-29 00:00:00",2,1200,"Contrat. Banda Osorno, fara apresentacao dia 29/06/2012, na Praca Antenor Navarro - Centro Historico."
"003052013",603095,8,"2013-06-14 00:00:00",2,3000,"CONT. RAYANE STEFANY REP. POR FEDERAÇÃO P. DE B. E F.DO ESTADO DA PB, P/ APRES. EM 14/06/2013, NO SÃO JOÃO DA CAPITAL."
"003052014",603095,8,"2014-07-02 00:00:00",2,3500,"CONTRATACAO DA BANDA FORRO DAS ARABIAS REPRESENTADA POR TUAREGS PRODUCAO ARTISTICA LTDA - ME - CNPJ N 10.737.104/0001-37"
"003062007",603095,8,"2007-07-24 00:00:00",2,600,"Contratação do Trio Pé de Serra Os Tropicais do Forró, p/ apresentação dia 16/06/2007, na 13ª Versão do Santo Antonio do"
"003062008",603095,8,"2008-06-11 00:00:00",2,25000,"Contratação da Sociedade dos Forrozeiros Pé de Serra e Ai - SOFOPS, rep. do cantor Santana p/ apresent. dia 29/06 no Sao"
"003062009",603095,8,"2009-06-01 00:00:00",2,45000,"Contrat. Gerar Producoes, rep. do cantor Jorge de Altinho, fata show dia 23/06/2009 na programacao Sao Joao 2009"
"003062011",603095,8,"2011-08-16 00:00:00",2,1200,"Contrat. Escritor- Jomar Moraes Souto, para apresentacao(bate papo), dia 19/08/2011, no Ponto Cem Reis- Centro."
"003062012",603095,8,"2012-07-30 00:00:00",2,2456,"Contrat. Mendes e Lopes Pesquisa Ltda, realizara o curso Especial Proc. A. D. Organizacao dias 13 e 14/08/2012."
"003062013",603095,8,"2013-06-14 00:00:00",2,3000,"CONT. DE FORRÓ DO SHEYK REP, POR IRAN P.ONTES DE MEDEIROS P/ APRES. EM 15/06/2013, NO SÃO JOÃO DO SINDICATO DO MUNICIPIO"
"003062014",603095,8,"2014-06-09 00:00:00",2,28000,"CONTRATACAO DO ARTISTA JURANDIR DA FEIRA REPRESENTADO PELA ASSOCIACAO MARLENISTA DO RIO DE JANEIRO - CNPJ N 29.549.177/0"
"003072007",603095,8,"2007-07-18 00:00:00",2,600,"Contratação dos Aboiadores de São José dos Ramos, p/ apresentação dia 02/08/2007, na Tenda de Cordel, na Festa das Neves"
"003072008",603095,8,"2008-06-12 00:00:00",2,600,"Contratação do Trio Pé de Serra Forrozeiros do Nordeste, p/ apresent. dia 21/06/08 na Prog do S. João em J.Pessoa."
"003072009",603095,8,"2009-06-01 00:00:00",2,1350,"Contrat. Coco de Roda do Mestre Benedito,rep. Terezina da Silva fara apresentacao dia 23/06/2009, no lago de Sao Pedro."
"003072010",603095,8,"2010-06-14 00:00:00",2,2000,"Contrat. Trio Forrozeiros do Nordeste, fara apresentacao dia 21/06/2010, Praca Dom Adauto- Centro."
"003072011",603095,8,"2011-08-16 00:00:00",2,1200,"Contrat. Tarcisio de Souza Pereira, apresentacao dia 19/08/2011- Ponto Cem Reis- Centro."
"003072012",603095,8,"2012-07-11 00:00:00",2,5000,"Cont. Pedro D. O. C. Branco- f/ parte da comissao de Avaliacao e Selecao da Coletiva de Fotograficos PB, dia 11/07/2012."
"003072013",603095,8,"2013-06-14 00:00:00",2,3000,"CONT. DA BANDA FORRÓ DE SAIA, REP. POR ERALDO TANCREDO O. DE SOUZA, P/ APRES. EM 21/06/2013, NO SÃO JOÃO DA CAPITAL."
"003072014",603095,8,"2014-06-27 00:00:00",2,2200,"CONTRATACAO DA DUPLA DE POETAS REPENTISTAS JOSE MOREIRA E JOAO PAULO REPRESENTADO PELO TAMBEM INTEGRANTE DO ALUDIDO GRUP"
"003082007",603095,8,"2007-07-24 00:00:00",2,10000,"Contratação do MCA3 - Produções  e Edições Musicais LTDA(Antonio Barros e Ceceu), p/ apresentação na prog. F.Neves 2007."
"003082008",603095,8,"2008-06-12 00:00:00",2,950,"Contratação da Quadrilha Junina Aconchego, p/ apresent. dia 14/06/08 no encontro de Quadrilhas Juninas no CPC/PB."
"003082009",603095,8,"2009-05-29 00:00:00",2,950,"Contratação do Coco de Roda do Mestre Benedito, p/ apresentação dia 30/05/09  no 9º Enc. Quadrilhas Juninas."
"003082010",603095,8,"2010-06-14 00:00:00",2,2000,"Contrat. Trio de Forro Tempero Nordestino, fara apresentacao dia 18/06/2010, Praca Dom Adauto- Centro."
"003082011",603095,8,"2011-08-15 00:00:00",2,2000,"Contrat. Contexto Cia de Danca, fara apresentacao do espetaculo Tres Pontos, dia 15/08/2011, no Ponto Cem Reis- Centro."
"003082012",603095,8,"2012-07-04 00:00:00",2,1200,"Contrat. Banda Lero love, fara apresentacao dia 05/07/2012, no Centro de Formacao da Policia Militar - Mangabeira."
"003082013",603095,8,"2013-06-07 00:00:00",2,2000,"CONT. DE JOAB SAX, REP. POR JOAB SOBREIRA DE ANDRADE, P/ APRES. EM 08/06/2013, NO PROJETO SABADINHO BOM."
"003082014",603095,8,"2014-06-27 00:00:00",2,2200,"CONTRATACAO DA DUPLA DE POETAS REPENTISTAS PEDRO FIRMINO E SEVERINO PAULO REPRESENTADO PELO TAMBEM INTEGRANTE DO ALUDIDO"
"003092007",603095,8,"2007-07-24 00:00:00",2,850,"Contratação do Côco de Roda do Mestre Marinaldo, p/  apresentação dia 30/07/2007, na prog. da Festa das Neves 2007."
"003092008",603095,8,"2008-06-12 00:00:00",2,600,"Contratação do Trio Pé de Serra Ritmo Nordestino, p/ apresent. dia 26/06/08, no São João do Servidor 2008 no Centro Admi"
"003092009",603095,8,"2009-05-29 00:00:00",2,700,"Contratação do Trio Marluce Forrozeira, p/ apresent. dia 30/05/09, rep. p/ Marluce S. Alves no 26º Enc. Quadrilhas Junin"
"003092010",603095,8,"2010-06-14 00:00:00",2,2000,"Contrat. Pedro Firmino e Joao Paulo, fara apresent. dia 19/06/2010, Praca Dom Adauto- Centro."
"003092011",603095,8,"2011-08-15 00:00:00",2,1200,"Contrat. Eulalia A. da Silva, Millenium Arte Digital, rep. Linaldo Guedes, fara a mediacao dia 17/08/2011, na prog. Agos"
"003092012",603095,8,"2012-07-04 00:00:00",2,1200,"Contrat. Trio Forro Pesado, fara apresentacao dia 06/07/2012, na sede Apace, durante o evento recordando o Sao Joao."
"003092013",603095,8,"2013-06-04 00:00:00",2,2500,"CONT. DE FRANK E NAZAR REP. POR FRANCISCO SALUSTIANO DOS SANTOS, APRES. EM 21/06/2013, NA PRAÇA RIO BRANCO."
"003092014",603095,8,"2014-06-06 00:00:00",2,7000,"CONTRATACAO DA ARTISTA MIRELLE DIAS CAVALCANTE DE OLIVEIRA (MIRA MAYA) REPRESENTADA POR FABIO HENRIQUE ALVES  ME (COLONI"
